timestamp,fps,frame_time_ms,hailo_score,hailo_valid,mediapipe_landmarks,command,tcp_sent,tcp_reconnected,cx,cy
1763911880.5018177,24.27259259259259,41.19873046875,0.0,0,21,Centered,0,0,105,170
1763911880.542544,28.671552006999892,34.877777099609375,0.0,0,21,Centered,0,0,103,174
1763911880.5867019,27.096912571306746,36.90457344055176,0.0,0,21,Centered,0,0,103,176
1763911880.6308956,26.8832898557227,37.19782829284668,0.0,0,21,Move Left,1,0,99,182
1763911880.6893768,22.229368835560173,44.98553276062012,0.0,0,21,Move Left,0,0,82,173
1763911880.7395065,25.005240346494812,39.99161720275879,0.0,0,21,Move Left,0,0,82,175
1763911880.790319,22.600690796031966,44.24643516540527,0.0,0,21,Move Left,0,0,82,176
1763911880.8380206,25.30774986122173,39.513587951660156,0.0,0,21,Move Left,0,0,82,177
1763911880.88078,27.676223531663027,36.132097244262695,0.0,0,21,Move Left,0,0,83,178
1763911880.9309628,27.458079383056308,36.41915321350098,0.0,0,21,Move Left,0,0,83,179
1763911880.9786212,24.624720394060905,40.60959815979004,0.0,0,21,Move Left,0,0,82,180
1763911881.0208359,27.503813139758293,36.35859489440918,0.0,0,21,Move Left,0,0,82,180
1763911881.0746365,23.436841340619797,42.66786575317383,0.0,0,21,Move Left,0,0,83,180
1763911881.1252341,23.220545980988657,43.06530952453613,0.0,0,21,Move Left,0,0,83,180
1763911881.1740642,24.861469885659755,40.222883224487305,0.0,0,21,Move Left,0,0,84,181
1763911881.217852,26.54471580732743,37.67228126525879,0.0,0,21,Move Left,0,0,83,181
1763911881.2679255,28.548022406599465,35.028696060180664,0.0,0,21,Move Left,0,0,83,181
1763911881.3146467,24.85793363400916,40.22860527038574,0.0,0,21,Move Left,0,0,83,181
1763911881.365016,23.79395947264517,42.02747344970703,0.0,0,21,Move Left,0,0,82,182
1763911881.4145017,25.334654135156683,39.47162628173828,0.0,0,21,Move Left,0,0,82,183
1763911881.4638102,26.044783348443264,38.39540481567383,0.0,0,21,Move Left,0,0,82,184
1763911881.5132427,23.66080736511948,42.26398468017578,0.0,0,21,Move Left,0,0,82,185
1763911881.5658743,22.613850923305026,44.220685958862305,0.0,0,21,Move Left,0,0,83,186
1763911881.6165335,24.658161765570437,40.55452346801758,0.0,0,21,Move Left,0,0,85,188
1763911881.6681519,25.257458057833823,39.59226608276367,0.0,0,21,Move Left,0,0,86,188
1763911881.7225142,22.062859337110154,45.32504081726074,0.0,0,21,Move Left,0,0,87,188
1763911881.7713366,24.225487478051935,41.278839111328125,0.0,0,21,Move Left,0,0,87,188
1763911881.8172674,27.560742259370237,36.28349304199219,0.0,0,21,Move Left,0,0,87,188
